Altium Designer Pick and Place Locations
D:\WORKSPACE\compute-module-4-gateway\PCB\Project Outputs for WIFI_RM\Gerber\cm4gateway.PAP.R0.csv

========================================================================================================================
File Design Information:

Date:       21/06/25
Time:       18:40
Revision:   f53cb5571fa5dd5c766bff6532c8282d0dab94f0
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","DES"
"C85","TopLayer","CAPC1608N","116.6750","19.1000","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C84","TopLayer","CAPC402","147.8430","75.5520","0","Ceramic Capacitor, 8.2 pF, 50V, C0G, 0402"
"C83","TopLayer","CAPC1608N","147.3251","72.9000","0","Ceramic Capacitor, 15 pF, 50V, C0G, 0603"
"C82","TopLayer","CAPC402","147.8230","74.3980","0","Ceramic Capacitor, 56 pF, 50V, C0G, 0402"
"C81","TopLayer","CAPC1608N","147.3250","70.8500","0","Ceramic Capacitor, 10 nF, 50V, X7R, 0603"
"C80","TopLayer","CAPC1608N","147.3500","68.5750","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C79","TopLayer","CAPC1210","146.8750","65.4000","0","Tantalum Capacitor, 47 µF, 6.3V, 1210"
"C73","TopLayer","CAPC1608N","112.1750","87.9250","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C72","TopLayer","CAPC1608N","109.8750","83.8500","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C71","BottomLayer","CAPC1608N","96.9000","83.2250","0","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C70","TopLayer","CAPC1608N","92.5249","91.4001","0","Ceramic Capacitor, 18 pF, 50V, C0G, 0603"
"C69","TopLayer","CAPC1608N","94.1249","83.7500","0","Ceramic Capacitor, 18 pF, 50V, C0G, 0603"
"C68","TopLayer","CAPC1608N","100.9250","90.2500","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C67","BottomLayer","CAPC1608N","96.9250","81.3750","0","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C66","BottomLayer","CAPC1608N","96.9000","84.9750","0","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C65","TopLayer","CAPC1608N","102.9250","90.3000","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C64","TopLayer","CAPC1608N","109.9000","85.7250","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C63","TopLayer","CAPC1608N","109.9250","80.3000","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C62","BottomLayer","CAPC1608N","102.9500","83.6000","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C61","TopLayer","CAPC1608N","102.4500","119.1250","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C60","TopLayer","CAPC1608N","93.8500","119.6500","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C59","TopLayer","CAPC1608N","112.4750","122.4000","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C58","TopLayer","CAPC1608N","121.5750","119.6750","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C57","TopLayer","CAPC1608N","116.6250","122.2000","0","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C56","BottomLayer","CAPC1608N","81.5250","111.1000","270","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C55","TopLayer","CAPC1608N","87.1750","118.9000","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C54","TopLayer","CAPC1608N","78.0750","119.4000","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C53","BottomLayer","CAPC1608N","98.4000","111.1000","270","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C52","BottomLayer","CAPC1608N","115.3694","110.5500","270","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C51","TopLayer","CAPC1608N","84.9250","86.5750","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C50","TopLayer","CAPC1608N","103.3687","57.9064","315","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C49","TopLayer","CAPC1608N","115.5093","58.3657","225","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C48","TopLayer","CAPC1608N","114.3593","43.4907","135","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C47","TopLayer","CAPC1608N","118.3093","47.4157","135","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C46","TopLayer","CAPC1608N","100.6436","55.1814","315","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C45","TopLayer","CAPC1608N","117.1343","56.6407","225","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C44","TopLayer","CAPC1608N","104.4093","43.9157","45","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C43","TopLayer","CAPC1608N","107.9000","24.0500","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C42","TopLayer","CAPC402","101.7541","47.8374","225","Ceramic Capacitor, 8.2 pF, 50V, C0G, 0402"
"C41","TopLayer","CAPC402","101.2448","48.3217","225","Ceramic Capacitor, 8.2 pF, 50V, C0G, 0402"
"C40","TopLayer","CAPC1608N","92.3750","24.0750","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C39","TopLayer","CAPC1608N","105.9343","60.4009","315",""
"C38","TopLayer","CAPC1608N","104.6843","59.1657","315","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C37","TopLayer","CAPC1608N","100.3593","41.8907","135","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C36","TopLayer","CAPC1608N","102.8686","39.4629","135","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C35","TopLayer","CAPC1608N","99.0843","40.6157","135","Ceramic Capacitor, 4.7 µF, 50V, X5R, 0603"
"C34","TopLayer","CAPC1608N","101.5593","38.1473","135","Ceramic Capacitor, 4.7 µF, 50V, X5R, 0603"
"C33","TopLayer","CAPC1608N","89.8566","65.5502","315","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C32","TopLayer","CAPC1608N","34.7750","121.5000","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.01uF 0603 X7R 5%"
"C31","TopLayer","CAPC1608N","36.6750","121.5000","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C30","TopLayer","CAPC1608N","38.5500","121.5000","270","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C29","TopLayer","CAPC1608N","40.4500","121.4750","270","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C28","TopLayer","CAPC1608N","42.3000","121.5250","270","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C27","TopLayer","CAPC1608N","44.1500","121.5000","270","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C26","TopLayer","CAPC1210","46.9750","122.1250","270","Tantalum Capacitor, 330 µF, 6.3V, 1210"
"C25","BottomLayer","CAPC1608N","35.0306","111.7750","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C24","BottomLayer","CAPC1608N","33.1306","111.7750","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10v 1uF X5R 0603 10%"
"C23","BottomLayer","CAPC1608N","38.9806","111.7500","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C22","BottomLayer","CAPC1608N","37.0623","111.7542","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10v 1uF X5R 0603 10%"
"C21","TopLayer","CAPC1608N","44.7000","63.3750","180","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C20","TopLayer","CAPC1608N","64.6088","63.0953","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C19","TopLayer","CAPC1608N","54.8500","63.9500","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C18","TopLayer","CAPC1608N","120.9500","19.9750","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.01uF 0603 X7R 5%"
"C17","TopLayer","CAPC1608N","123.0750","19.9750","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C16","TopLayer","CAPC1608N","125.1500","19.9500","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT RECOMMENDED ALT 810-C3225X7R1H106250"
"C15","TopLayer","CAPC1608N","125.0000","23.6750","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C14","TopLayer","CAPC1608N","136.1250","36.2500","0","Ceramic Capacitor, 1 µF, 50V, X5R, 0603"
"C13","TopLayer","CAPC1608N","148.8250","34.0500","180","Ceramic Capacitor, 220 nF, 50V, X7R, 0603"
"C12","TopLayer","CAPC1608N","148.8500","32.1000","180","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C11","TopLayer","CAPC1608N","127.0500","33.3000","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C10","TopLayer","CAPC1210","127.2000","37.4750","270","Tantalum Capacitor, 47 µF, 6.3V, 1210"
"C9","TopLayer","CAPC1608N","131.8500","37.0000","270","Ceramic Capacitor, 22 pF, 50V, C0G, 0603"
"C8","TopLayer","CAPC1608N","136.9250","33.7250","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C7","TopLayer","CAPC1608N","135.6397","52.2765","0","Ceramic Capacitor, 1 µF, 50V, X5R, 0603"
"C3","TopLayer","CAPC1608N","129.1647","51.5015","90","Ceramic Capacitor, 22 µF, 25V, X5R, 0603"
"C2","TopLayer","CAPC1608N","132.8897","53.1015","270","Ceramic Capacitor, 22 pF, 50V, C0G, 0603"
"C1","TopLayer","CAPC1608N","136.4147","49.5515","270","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"U29","TopLayer","621-DF10M","140.8250","17.0750","270","Bridge Rectifiers 1000V 1A"
"U4","TopLayer","CM4","44.3193","99.2459","90",""
"U3","TopLayer","SOT-223-4","130.7750","24.5000","0","TEXAS INSTRUMENTS  TLV1117LV33DCYR  LDO FIXE 3.3V 1A SOT-223-4"
"S1","TopLayer","118250272","132.9378","5.1769","0","Tactile Switches R/A TACT 260 PB SWITCH"
"R13","TopLayer","RESC1608N","130.1000","36.9000","90","Thin Film Resistors - SMD 0603 100 Kohms 1% 10PPM"
"R11","TopLayer","RESC1608N","148.3500","36.7750","0","Thin Film Resistors - SMD 0603 100 Kohms 1% 10PPM"
"R10","TopLayer","RESC1608N","124.9250","33.3500","270","Thick Film Resistor, 0 O (Jumper), 100 mW, 0603"
"R9","TopLayer","RESC1608N","129.1897","54.9015","270","Thick Film Resistor, 35.7 kO, 1%, 200 mW, 0603"
"R8","TopLayer","RESC1608N","144.5147","56.4015","270","Thin Film Resistors - SMD 0603 100 Kohms 1% 10PPM"
"R7","TopLayer","RESC1608N","148.6397","55.3515","180","Thin Film Resistors - SMD 0603 100 Kohms 1% 10PPM"
"R5","TopLayer","RESC1608N","131.0147","53.1265","90","Thin Film Resistors - SMD 0603 100 Kohms 1% 10PPM"
"R4","TopLayer","RESC1608N","148.6147","53.4515","0","Thin Film Resistors - SMD 1kOhm,0603,1%,25ppm, 63mW,50V"
"R2","TopLayer","RESC1608N","125.0000","53.1000","90","Thick Film Resistor, 0 O (Jumper), 100 mW, 0603"
"R95","TopLayer","RESC1608N","28.3750","74.4500","0","Thin Film Resistors - SMD 10kOhm,0603,1%,25ppm ,63mW,50V"
"R94","TopLayer","RESC1608N","28.3750","72.7250","180","Thin Film Resistors - SMD 1kOhm,0603,1%,25ppm, 63mW,50V"
"Q1","TopLayer","SOT65P210X110-6N","32.6000","72.7500","0","MOSFETs 30 V, 350 mA dual N-channel Trench MOSFET"
"MH4","TopLayer","MH","149.9957","15.4320","0","_"
"MH3","TopLayer","MH","149.9957","115.4320","0","_"
"MH2","TopLayer","MH","9.9956","115.4320","0","_"
"MH1","TopLayer","MH","9.9956","15.4320","0","_"
"J4","TopLayer","691322310003","100.1987","6.2143","180","Pluggable Terminal Blocks WR-TBL 300VAC 10A 3P Right Angle"
"J3","TopLayer","691322310003","85.2127","6.2143","180","Pluggable Terminal Blocks WR-TBL 300VAC 10A 3P Right Angle"
"FID1","TopLayer","FIDUCIAL-1MM","4.7750","4.9000","90","_"
"FID2","TopLayer","FIDUCIAL-1MM","155.0250","122.1500","90","_"
"FID3","TopLayer","FIDUCIAL-1MM","3.3250","122.7750","90","_"
"C6","TopLayer","CAPC1608N","148.6147","51.0015","180","Ceramic Capacitor, 220 nF, 50V, X7R, 0603"
"C5","TopLayer","CAPC1608N","148.6647","49.0765","180","Ceramic Capacitor, 10 µF, 50V, X5R, 0603"
"C4","TopLayer","CAPC1608N","127.2397","51.4765","90","Ceramic Capacitor, 100 nF, 50V, X7R, 0603"
"C77","TopLayer","CAPC1608N","42.1997","73.2748","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C76","BottomLayer","CAPC1608N","12.0500","101.7500","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C75","BottomLayer","CAPC1608N","12.0750","99.8750","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10v 1uF X5R 0603 10%"
"C74","BottomLayer","CAPC1608N","12.0750","98.0000","180",""
"U19","TopLayer","SOP65P780X200-28N","10.2250","91.6500","90","8-bit Microcontrollers - MCU 8-Bit MCU 56KB Flash 4KB RAM 256B EE CIP"
"TP3","BottomLayer","TP","48.0250","120.1000","90","_"
"R1","TopLayer","RESC1608N","33.6250","75.9750","90",""
"R93","TopLayer","RESC1608N","8.6250","83.2750","90","Thin Film Resistors - SMD 1kOhm,0603,1%,25ppm, 63mW,50V"
"R92","TopLayer","RESC1608N","6.8750","83.2500","90","Thin Film Resistors - SMD 1kOhm,0603,1%,25ppm, 63mW,50V"
"R91","TopLayer","RESC1608N","5.1250","83.2500","90","Thin Film Resistors - SMD 1kOhm,0603,1%,25ppm, 63mW,50V"
"J2","TopLayer","61900311121","5.2500","107.2500","90","Headers & Wire Housings WR-WTB 2.54mm Male 3Pin Lckg"
"J8","TopLayer","HDRV6W64P0X254","9.5300","75.7500","0","Headers & Wire Housings WR-PHD 2.54mm 6Pin T HT Header"
